Category	Descript
bug	Reception staff weren't very welcoming!
other	The terrace restaurant had great food and a spectacular view!
other	Thanks for ones marvelous posting!
other	Good breakfast.
other	it is awesome
other	No one else can convey the experience of playing this game to you through mere words.
other	The breakfast was excellent with such a wide variety of choice.
other	First trip to Paris was decent by staying here.
other	WHY?
other	A very central hotel that deserves its stars,
other	Hey, nice review.
other	This Demo is Reasonable, but you can get tired of it in at least two days of gameplay.
bug	This Demo is Reasonable, but you can get tired of it in at least two days of gameplay.
other	The service is fantastic - with amazing attention to detail.
other	Half my group were served and remainder weren't as just after 0300
other	The only thing that wasn't that perfect was the internet connection.
bug	The only thing that wasn't that perfect was the internet connection.
other	It was a really good app.
other	Marvelous location very convenient
other	I highly praise him and recommend it
other	You have only to paste the video url and press the download button.
other	with many levels
bug	All offered drinks and food at the restaurants and bars are too expensive.
other	Near some of our favourite eating places.
other	Free wifi.
other	Also the check-in guy gave us a fabulous restaurant recommendation in town, Elbow Lane.
other	We chose this hotel without recommendation and through an internet search.
other	Damn, its too slow!!!
other	its effect colors many of his pihilahan
bug	A lot of the time my purchase won't show up.
bug	A lot of the time my purchase won't show up.
bug	This time hotel very noisy with people slamming doors and shouting down corridors late at night - didn't sleep which defeats purpose of staying near for early flight in morning...
bug	* Inaccurate output picture.
other	Excellent!!
other	more helpful and easy to learn.
bug	bathroom sliding door quite heavy to move
bug	The thing that I find a lot faulty is that I archived a few of my photos.
other	I have never had an experience at a hotel like this (and we travel and stay in hotels upwards of 10x a year).
other	very nice job!
bug	Limited TV channels
bug	Ridiculous please fix it.
other	All you can do in this is feed, click train button, and battle without controlling the magikarp.
bug	very filthy hotel bad staff all around ..
other	I enjoy converting my favorite songs to unique iPhone ringtone with this ringtone maker.
other	But that's just me.
other	Intuitive and best of all, it's FREE!
bug	This app was great but I now rarely see any photos I want to because of the new timeline setup.
other	The hotel is in a great location.
bug	data seems all garbled up.
other	The spa was an added treat.
bug	I only see the notification if I catch it live (right when it pops up and notifies me outside of FB). But otherwise, I see that I have notifications, but I can't actually view them.
other	Otherwise very cute game, I feel attached to my magikarp and love to see them grow.
other	The items are high quality, the majority of my items have been free with $1-4 shipping.
other	La Tamise is a small hotel yards from the Tuilleries Gardens.
bug	Why does evrything need all these gifs, stories and whatever else 12 year olds are into these days?
bug	I do not like it.
other	Highly recommend.
bug	I'm left having to use the web browser version.
other	We recieved a letter/note welcoming us and wishing us well for our honeymoon but no macarons (I guess I have a sweet tooth so I did mourn the lack of these in our room!).
bug	We recieved a letter/note welcoming us and wishing us well for our honeymoon but no macarons (I guess I have a sweet tooth so I did mourn the lack of these in our room!).
bug	very dull.
other	Hotel is located in a great location as far as safety and is within walking distance to a lot of great shopping and sites to see.
bug	6 lines of text on a 2560 pixel high screen.
bug	The check in reception area was chaotic!
bug	Had a very bad night's sleep.
bug	Just junk.
bug	Firstly, I'm not able to put up text on my story.
other	The layout was primarily user friendly, simplistic, and easy to navigate.
other	We came to Barcelona for 3 days just before Christmas and we couldn't have chosen anywhere more idyllic to stay.
other	Skype Team, I hope you read this review I have made for you, as well as taking account of my issues and my recommendation I provided for you to hopefully utilize sooner.
other	No noise.
other	Breakfast room is not as nice as the rest of the hotel
bug	Breakfast room is not as nice as the rest of the hotel
bug	The pool was packed with about 20 kids, so my family was not able to enjoy that part.
bug	Breakfast Restaurant is too big to enjoy a relaxed breakfast, coffee always arrived late due to number of people in one spot, food set up in 6 different locations was tiring to find what you are looking for...
bug	Doesn't have Chromecast support.
other	Doesn't have Chromecast support.
other	Drury is not a luxury brand but the rooms are clean and spacious, the beds are comfortable and the shower head is great.
other	Come and claim your Free Prizes too
bug	The app really has to be optimised before a whole new version is released and microsoft needs to stop treating its users like beta testers.
other	Okay location
other	The staff was very helpful and the rooms were amazing.
bug	When I type the typing area should slide above my keyboard but it doesn't.
other	You'll love it the second you walk in.
other	Comfortable accommodation tended by helpful and friendly staff.
other	* Few minutes & a few clicks to install
request	In addition, there should be some spa packages.
other	works well,I can easily get my
other	Totally recommend ...
other	Perfectly positioned hotel with wonderful, helpful staff.
other	My advice: stop your search and find a way to stay at the Four Seasons George V.
other	The choice between being evil or good is very well done.
other	Would recommend to anyone.
other	The room was charmingly decorated and spacious.
bug	EXTREMELY POOR FOCUSING, ESPECIALLLY ON CLOSE-UP VIEWING OF STREETS AND HOUSING.
other	i am very happy to listn about this sofware my frend was tell me its working very well
bug	I don't understand what the problem is with the "disconnected", but I've tried multiple ways to resolve with no luck.
other	There is a good selection of local vendors mixed with high end boutiques.
other	Team is so nice and friendly .
bug	WHY should we suffer that? was my and my husband's question to the manager, who by the way spent an hour to find 5 minutes to talk to us.
other	My husband and I stayed 3 nights over the weekend at this lovely hotel.
other	So I just wanted to say, thanks PARTNER
other	Skype is NOT instagram, it's NOT Facebook, It's NOT supposed ro be anyrhing else but Skype.
bug	so much for virus free!
other	(A square border frame appear on the output image)
other	The Narcisse Blanc is a new 5 star hotel just a few steps from the Invalides.
bug	For someone like me who makes a living from Instagram it is very disappointing to see my growth stunted to this degree.
undetermined	When last time, you could just upload a picture off of the interwebz.
other	Great location for walking distance attractions, the hotel is in front of a park that at night during the weekend has food, clothing, music, souvenirs.
bug	I ran it, and promptly got driver problems with a failure to resume from sleep and hibernation etc.
other	Why can't they ever talk to each other!!!???
other	this tish app very useful ..
bug	Still calls keep dropping with the new updates
other	While I was working on Flash Player 9, programs, games etc.
other	Fortunately I managed to leave an elevator.
other	The rooms are not big but the space is well apportioned and the beds are really comfortable.
other	(1 time later) I would recommend this app.
bug	For a bank of this reputation I would expect they put more money and effort into the development into their customers mobile banking app.
other	I have a Samsung Netbook NC10 Plus with Windows 7.
other	A really nice hotel where everyone and everything is just right.
bug	Likewise, we requested for early check in since we arrived around 8am however, rooms were only available around 3pm so we had to wait.
other	good war game!
other	The property was going through some renovations of which I hope they extend to the rest of the property.
bug	The internet in our room was not really good at all - if we needed good internet we used it in the breakfast dining area..
other	excellent location and great roof terrace and views from the room.
other	Kept it up .
other	Used this app all throughout Costa Rica and managed to travel without any pre-resevations and anyways had a beautiful roof over my head.
other	and i find
other	No mini game or anything like that.
other	Now my arm is in a sling.
bug	We'd like to thank Sofitel managers for completely silent reaction and ignorance of the guests inconvenience.
request	A recommendation I would make for skype is to have an option to choose between the previous layout and the new layout.
bug	And now it ignores my 'open links externally' preference for some sites.
other	You have 0 kasalukuyang kabayaran set up for apps on Facebook.
request	Would great if there is a step-free access to the airport terminal which is 3 minutes walk distance from the hotel for wheelchair and family with baby stroller.
other	Would recommend!
other	great location to walk to all major sights and shopping.
other	Enjoy the sunshine!!
bug	Very disappointing!
other	Many moons ago, before I found this godlike app, I suffered from a rare case of crippling depression.
other	The bathrooms were superb as were the comfortable beds.
bug	Room was grubby, mold on windows frames.
other	I like being able to check in and get my boarding passes.
other	Forget everything you know about airport hotels!
other	i must play and then tell you about this
other	Truly cannot ask for much more!
other	We stayed at this charming hotel for three nights with our three adult daughters.
other	Breakfast : excellent
other	My friend recommended me Long Path Tool for fixing this.
other	good nice and i like it
other	You can lear this in 5 minutes and get it running.
bug	I just started the free trial today, entered my credit info, and I can't watch anything.
bug	I just started the free trial today, entered my credit info, and I can't watch anything.
other	hello every body
other	I have to say that I was not disappointed.
other	i think it is going to cause
other	on arrival here we were instantly impressed.
other	The new update is amazing.
request	I think that you should allow me first to read the reviews , then I'll decide about installing it
bug	What am I paying for TV license for!
other	Pros •The appearance of Windows 7 is terrific.
other	The hotel is located in an upmarket area of Barcelona, a bit out of the centre.
other	It was in Port Moresby.
request	There should be a Free Demo Mode :/
bug	So I think the issue is on the app side, since it's force closed after I update it.
other	Rooftop complimentary drinks and snacks in afternoon / evening - a perfect break before late evening dinner.
other	the simple control
other	It would be nicer if stuff shipped at reasonable times.
request	It would be nicer if stuff shipped at reasonable times.
other	It was fantastic!
other	Such a wonderful experience to stay at this grand hotel.
other	Overall, this app is really great for sharing social media!
bug	Also the bathrooms in the lobby didnt hace any mirrors.
bug	Breakfast was average, limited to availability & under cooked.
request	now I need it on Windows 7 PC
other	A short walk to Notre Dame and the museums.
bug	Kiddish modulation effects.
other	Staff very friendly n helpful
other	Great hotel and service from check-in to check-out.
other	I live in UAE and telephone charges are very high her, so i use FreeCall very frequently.
bug	Small rooms, bed was very uncomfortable.
other	Another spur of the moment booking as we drove around Ireland, this place was terrific.
other	My wife and I thoroughly enjoyed our stay.
bug	When I am at my 60th like it tells me about the 45th like, when I am on 100th like, it tells me about the 75th like and so on.
bug	Any time I try to watch anything live it fails.
other	It has pretty much retained a style that is competitive and team-oriented, something which other games build on to complexity.
other	Hotel is in a great location walking distance to many sights.
other	When I first began using camfrog almost a year ago my first impression was that the program seemed fun to use.
other	The location is perfect.
other	installation and usage is so simple that even people with no knowlege about proxy can enjoy security :)
other	It is perfectly located in the Sixth Arrondissement, with plenty of shops and movie theaters close by.
other	Little amenities help a lot in a hotel, and 34B has some nice features to improve the stay.
other	The location is perfect.
other	It's one of the best stools we can use for ios
bug	With almost every resort with evening music Sofitel was the only one without!
bug	They even didn't have an iron available to use.
other	I believe she was named [name].
bug	Have problems logging in with correct details..
bug	Have problems logging in with correct details..
other	Skype - catering to 8-year old girls and death metal fans alike!
other	only the weather although it was low season & to be expected.
other	I only stayed for one night but the room was very comfortable and [name] at the front desk was very friendly.
bug	My bath had not been cleaned properly when I arrived as there were two brown lines around the top of the bath where somebody had obviously used it before me!
other	Points reduced sigh...
other	The bar is lovely and comfortable.
bug	No one told you constant changing users interface is uncomfortable?
other	nice selection of cars
other	Good place but not excellent for the brand and price.
bug	Good place but not excellent for the brand and price.
bug	the floor had dust all round the edges of the room and the rug had bad stains on it which didn't make us comfortable to walk on without slippers everything in the room was not up to our cleanliness standard.
bug	Had the feeling that hotel has free parking but turn to be a public park with fees
bug	Why is the status so deeply hidden into the options?
other	This downloader is great.
other	The front desk staff, especially Rafaella, were wonderful - friendly and helpful.
other	There was nothing not to like, I can't promote this place enough, simply beautiful.
other	I think this game should be one of the best since I like it so much
other	There is no requirement to purchase gems, as they are awarded through achievements and randomly throughout gameplay, which is fantastic.
other	i don't want to block every person on my list.
other	great game!
other	I like all of the stuff, I shop online a ton, the prices are great, I loaded up a cart and was excited about all of the great deals I got, but my mom has always taught me that if it seems to good to be true, there is probably a catch.
other	Lightning fast
bug	slow wifi
other	I have tried
other	wicked audio conversion program!!
other	Front desk service was great, was able to check in early.
bug	We had a bad experience trying to order breakfast in the restaurant.
other	My husband and I enjoyed our two night stay here.
other	We had to stand on a towel.
bug	Also musty smell.
other	Staff looked after us and took time to explain about the hotel and to help us get our bearings.
other	The Adobe Illustrator CS5 is a Very useful Software in Business, Personal, Enterprise, Professional .
other	I really liked that addon in viber, alongside with Wikipedia and ability to share links directly from app.
other	I pay for the licence every single year, and not even able to.
bug	Secondly, when I'm typing a message I can't see what I'm typing.
other	I just want to erase there message and there picture from the gallery.
request	I would like to be able to crop photos, move pictures around in a collage and have more filters.
other	I heard from someone that if you write a long review, it will end up being ranked as helpful by google.
other	It's not very time consuming or involved, but has the basics of catching Magikarp with different patterns, and training them to jump higher and higher to take on competitive leagues with other Magikarp.
bug	I am getting this annoying error of "Not Enough Storage: Error downloading offline translation files.
bug	They should tell you that there will be other software loaded onto your computer, and you should have a chance to decline.
other	Staff very helpful in dealing with my car as I had a very early morning departure.
other	Pros
other	It helps download almost any sites I wanted, Ustream, YouTube, Veoh, Facebook, and many more.
other	Gorgeous evening meal on the rooftop watching the sunset.
other	I've tried to use Eraser for two year now and finally the developer make the mistake of dising Windows 7 because his progrm won't work with it.
other	Room size was sufficient for our needs.
bug	The only bad thing is I wish you could do more in the game.
other	It also had double doors that could open to internal courtyard and fresh air into the room.
other	The staff were exceptional - extremely polite at reception including being walked and shown around the room.
other	I appreciate how thorough this program is.
other	have it on other computers and love it.
other	Golden Freddy Muppre
other	My wife and I have had the good fortune during our lives together to visit Paris on multiple occasions and stay at some of its most famous and finest hotels, but our recent experience at the Peninsula made the others seem inadequate in comparison.
other	Nothing to complain about.
undetermined	Unless you're like me and just had to see how bad it really is ....
other	It's one of the best i have seen.
other	BEWARE!
other	Great boutique hotel in a great location.
other	good
bug	It was nothing but confusion!
other	Love this hotel, first of all it is beautiful, great little jazz bar, wonderful staff and concierge.
bug	We phoned reception to tell them and the girl hung up without saying a word.
other	Great staff, fantastic location!
bug	Also sometimes trying to upload a pic from another app, IG will state it doesn't support the file.
bug	WiFi, occasion water issues
bug	FREE VERSIONS ARE USELESS - I WOULD NEVER PURCHASE AN AVO PRODUCT.
other	Lovely modern hotel, three minutes walk from Moulin Rouge.
request	It needs extra clothes like cowboy clothes and hat etc.
request	Could do with younger people looking after.
other	The room was very spacious with a lounge area as well as big bathroom and closet.
other	City centre ..
bug	Every update makes this application worse.
bug	Very cramp, difficult to walk trough it.
bug	it cannot be install on laptop
other	I mean ...
bug	People getting up first and taking the sunbeds but not using them until much later in the day!
request	I would like it better if you can have a bank where you can store the free half off hint to use at a later time.
other	Our room was incredibly spacious and the bathroom, in particular, was enormous (even by US standards).
other	I will never return to this facility because of this.
other	Windows cannot be open, a/c only
other	Monitored by Google
bug	also i had to wait to find a song for about 7 mins because the ads were loading...
other	I win that one everytime I play for just a few minutes waiting for something.
bug	The place did not have much buzz.
bug	Hard Bed.
other	when i setup a new windows7 64bit /
other	The Drury hotels are one of my favorites...
bug	Suck!!
other	I believe that the best media player i have come across is Moovida.
other	Upon arrival we were greeted with such warmth that we felt like locals.
other	My wife and I have stayed at great properties (hotels, resorts, lodges, camps, etc) on every continent (Antarctica excluded as it does not offer overnight accommodations), and after several stays there, we have determined that Le Bristol is the greatest of them all.
other	Early check-outs can avail of complimentary T/C and a Danish pastry.
other	it is better if it had a cloud
bug	Staff very slow at pool bar.
other	You don't have to pay a penny, either.
other	The El Palace Hotel was our treat for this vacation, and we weren't disappointed.
other	Oh wow a great room.
bug	Just awful , there was odor in the room and no housekeeping every day .
bug	Perfect perfect sea view room, really enjoyed my stay here in Radisson Blu.
other	We have stayed at this great hotel several times and the staff know us well.
other	It seems to prevent spyware and viruses from getting through!
bug	I don't know if I like this app anymore.
other	We spent 3 nights here on our way to Italy for a cruise.
other	Such a good app, I'm scared to use it thinking everyone has it!
other	Maybe the author can make a fix for that?
other	Minutes to Notre Dame.
other	Absolutely fabulous welcome from [name], who made our holiday!
other	We have been traveled with three more couples.
other	The actual bed was very comfortable and we loved our undisturbed sleep with the ocean sounds in the background, it was just the getting on and off that was a problem for me.
bug	The actual bed was very comfortable and we loved our undisturbed sleep with the ocean sounds in the background, it was just the getting on and off that was a problem for me.
other	I always thought the idea of expressing your feelings with a yellow emoji was ludicrous.
other	Works as declared, has some NVidia powered turbo mode.
other	This is such a good game.
other	Great ambience in this stylish hotel.
other	Asking for a late check out was no problem.
bug	You've updated the app to allow for posting multiple photos/videos in one post without creating a repost option for these types of posts.
request	You've updated the app to allow for posting multiple photos/videos in one post without creating a repost option for these types of posts.
bug	Can't easily see contacts or share content from other apps.
other	Food is good but overpriced - breakfast for 70$?!. The rooms are ok but not very charming and have hardly no athmosphere.
bug	Food is good but overpriced - breakfast for 70$?!. The rooms are ok but not very charming and have hardly no athmosphere.
other	You're not a small time app anymore!
other	Several contacts with 'Service' ended in being told that Sodapdf 7 would resolve all the problems.
bug	I asked her these details and got answers very hard..
request	Maybe continental breakfast could have been included in price.
bug	The new look is probably the worst move they could have made.
bug	Fair english skills and lack of training especially in the restaurants are not expected in a 5* resort.
other	it was the only place they were left.
other	Great room size, and the kids loved the indoor/outdoor pool.
bug	Avoid.
other	Karpe diem!
other	And breakfast was also provided.
bug	It is always coming up with an error on booking.
other	Lovely, helpful staff that were always smiling and helpful.
other	everymorning.
other	Can't believe how quickly it made all of these for every occasion!
other	From the moment we arrived nothing was too much trouble, the staff were so friendly and extremely attentive.
bug	After running defraggler i am now unable to read anything off of the drive.
other	it helps me to recover deleted photos.
bug	WooGamble Browser!
bug	Now with the new appearance it made it modern, ok, but modern does not mean better regarding features and ease of use.
other	Now with the new appearance it made it modern, ok, but modern does not mean better regarding features and ease of use.
other	Will definitely be back again!
bug	Where does the licence fee go you have to wonder.
other	I liked everything however, I would suggest that you put more umbrellas, such as, e.g. around the sun beds situated in the pool
request	I liked everything however, I would suggest that you put more umbrellas, such as, e.g. around the sun beds situated in the pool
other	Room fine and very close to airport.
other	The room was perfect with a separate sitting area.
other	I really appreciate the fact that everyone at La Quinta appreciates our servicemen and treats them with the utmost respect.
other	We didn't like the fact that our stay at Hevea, with the gracious & highly professional Hevea Villas Team had to come to an end.
other	Nice breakfast and willing staff.
bug	Beach side seafood restaurant was a depressed spot at night without any music compared to the next resort who had a DJ every night on the beach playing chill sunset House music, where we spent most sunsets.
bug	Hotel needs an update.
other	It is also very convenient with the Metro just minutes away.
other	i have windows 10 i need excel from windows 7
bug	Getting into and out of the parking garage took a while because it was on a lift.
other	Today, I still play this game.
other	Everything you need at your fingertips!
other	I use the PhotoScape.
other	I really like this software.
other	It was our daughter's birthday while we were there and we were having difficulty trying to get a reservation at a specific restaurant she wanted to eat at.
other	The previous Skype layout was exceedingly efficient.
other	We booked the hotel online and had never been to Barcelona.
other	Of service .
bug	I've been sat next to a friend messaging another friend and it's telling me the friend I'm sat next to was last on Viber 20 mins ago (for example) when I know they weren't near their phone.
other	The staff bent over backwards to accommodate and help us.
other	Great location which means you can walk to most all the sights worth seeing.
request	The app would be a lot cooler if we could design our in clothes or mix and match outfits instead of having the pre made outfit choices.
other	I just want to especially thank the young lady @ the front desk.
bug	I also had to block my nose when I get to the shower booth.
other	We visited Madrid with our 20y old son from 25th till 29th of May 2017.
other	good gameplay
other	easy to install programs and application.
bug	Will never stay there again!
other	It's in it early stages but I'm hoping as time progresses more features can be added to be interactive with the game and make more important choices.
other	Staff were all very friendly and helpful.
other	Loved the location and view.
other	yes i did try password revealer a couple of times, But i could not get it to work
other	it is the greatest game of the world
bug	Very slow font desk and the support is very low to attain.
other	We were in town for MLK weekend with my daughter and her friend.
other	Location is superb.
other	I love the game.
bug	If i had to list a negative, I'd say that the ipod dock for sound system was for old iphone 4, not the newer plug and should probably be updated at some point.
other	This was a short one night stay whilst I was in town in Barcelona.
other	Just a short walk from moulin Rouge and Sacre Cor Cathedral.
other	Great
other	Stayed here for my partners birthday.
other	IT Game Is best what play !
other	I received some of my order and now im still waiting for the rest of my orders.
other	Thumb up for their services.
other	I thought this was odd however there was an event on at Nikki beach the same night so I figured there were in use elsewhere.
other	:)
bug	I hate it.
other	Menu at Restaurant was average.
other	Great way to guarantee continued gameplay, though!
other	It's Amazing It Took My Breath Away!!!
other	It's easy to get to two metro lines and near Taxi stands.
other	Great place to meet for drinks with friends.
bug	It will play for 10 seconds or so then stop and keep buffering then just stop playing altogether.
other	so good from 7.
bug	As of this moment i have ordered and receved 3 seperate parts from other venders from hong kong from start to finish before they even prossesed my order.
other	The odd BSOD, too.
bug	I found the carpark eventually after driving around the block three times - and then had trouble locating it again on my departure.
bug	1, the installer, asks me if i want to install software(I specifically clicked everything to stop it intalling third prty software and it does it anyway)
bug	1, the installer, asks me if i want to install software(I specifically clicked everything to stop it intalling third prty software and it does it anyway)
other	The welcome at Reception is warm and helpful, whatever the time of day or night.
other	Hunter is the best in it's category.
other	install left 4 dead
other	The hotel is decorated very nicely, and the staff at the hotel made our experience even more enjoyable.
other	none.
other	How late?
other	Keep up the awesome work Google!
other	best game
other	After I did the only impressive aspect was the Login Screen.
bug	After I did the only impressive aspect was the Login Screen.
bug	It's stupid!
other	This is not instagram or Facebook.
bug	The beds were a little hard.
other	From the app and the services provided.
other	This boutique hotel has not only a great location but a team of staff to match.
request	Wish I could post to FB page
other	On one app that is terrible I have seen a positive other off of him.
other	I love this app, I downloaded it a little while ago and I was surprised to find that unlike other music apps out there it actually allowed me to play the music I want when I want it, five stars all the way, if you're looking for a good music app then this is the one for you!
bug	Room service meal sizes are very small, especially for men
other	Fast download, easy browse.
other	Normal game, you can play;)
bug	I only ever use rte for toy show and I can't watch it!
other	: I love Whatsapp!
other	Very friendly staff and willing to serve but they do not get the detail right.
bug	Very friendly staff and willing to serve but they do not get the detail right.
other	Very helpful staff.
bug	And I can't fix this unless I convert my Instagram back to a personal account.
other	Not in any of the restaurants, bars or room service.
other	this game is the best but it honestly its not working
bug	this game is the best but it honestly its not working
other	We stayed here 3 nights per our tour company itinerary.
other	Not horrible, but not very memorable.
bug	Now it has become unorganized and the most important issue is that we don't know the pattern it works upon.
other	They went above and beyond to help us during our stay!!
other	In my opinion everyone will download this game i
other	This is a short review because it is a small, easy app that does exactly what it is intended to do, and nothing else.
other	Pros:
other	I arrived June 14th and left June 16th.
bug	The room was a bit too hot and we heard a few other people say that too but apart from that it was a wonderful stay.
other	The room was a bit too hot and we heard a few other people say that too but apart from that it was a wonderful stay.
bug	Horrible program!!!!!!!!!!!
other	This is an amazing hotel with the nicest staff.
other	This is the pay off of being in the heart of the city.
bug	It's very annoying & when it's constantly happening it appears quite insulting.
other	ca.
bug	And now I can't see the notifications tab from the 'Most recent' screen.
other	Loved the bar and surrounding area for drinks.
bug	Rooms and the entire hotel looks and feels old and unkept.
other	Top marks.
bug	This is a waste of pure great time in the awesome day we have.
bug	Middle quality restaurant and very expensive for the region
other	If you prefer slick modern interiors and infinity pools, this is not the place for you
bug	If you prefer slick modern interiors and infinity pools, this is not the place for you
bug	Looks really cheap, more like a hostel than a hotel.
bug	Main pool area under renovation & closed.
bug	The Price is rather high for what is offered.
other	Don't bother with this place it's a waste of your money, there's way better around for the same price.
bug	Don't bother with this place it's a waste of your money, there's way better around for the same price.
request	how to download Visual Studio for free?
other	* Fast & 'light-weight'
bug	I would appreciate a more Relaxing atmosphere when taking breakfast, as the Ladys there should be more discrete.
other	best pc racing game ever so much to do there is even high jump darts etc where you eject your self from the car
other	Contacts and notes transferred which i expected.
other	The hotel really is faultless.
other	Renovations underway - this property is dated.
bug	Renovations underway - this property is dated.
request	It would be perfect if breakfast included in room rate.
bug	Hotel is in desperate need for a renovation.
other	I think pospro is totally underrated!
bug	Limited options
request	Sofitel should consider using both restaurants for breakfast to make it more user friendly.
other	Friendly service.
other	You have to move piece by clicking in it & then click on other area
other	it helps people alot with there music and alot of people enjoy listening to music
bug	Sometimes it's good to be disruptive but this update really feels like a downgrade.
other	Unfortunately, I didn't get to try it but intend to do so in the near future.
other	I ran defraggler on my external hard drive which was functional and readable.
bug	This spoilt the outlook on the beach side.
bug	I have a lot of Problems on Classic NotePad for Batch Files,
other	Staff were extremely helpful & friendly.
other	The words do become more challenging as I progress along.
other	This time, on the recommendation of a European colleague, I stayed at the Hotel Malte.
other	Plenty of advice on where to eat and drink, made reservations for us and advised on where to visit.
other	The LaQuinta In Columbus Dublin is a very nice hotel.
bug	A bit unfortunate that they were remodelling the lobby at the time we stayed.
other	A bit unfortunate that they were remodelling the lobby at the time we stayed.
undetermined	And not as screen overlayed on the order you want us to use.
bug	Partner signed for our order , then there was extra added to our bill at a charge of $120. Asked for cctv footage as we knew we were in the right but were refused to sight this.
other	Classic rooms had an interior courtyard view & no breakfast!
bug	Classic rooms had an interior courtyard view & no breakfast!
other	We called concierge (it was 11pm) and they propose to send engineer to repair in-room in 1 hour time.
other	I've tried many converters, most of them are one-way convert, but this one can give me more choices, I can uninstall those one-way converter now.
other	The rooms are small, but exquisitely decorated.
bug	* no menu, it is very hard to find settings * too much space between conversation bubbles, very little text is shown.
bug	Very small bathroom for the size of the room.
other	Very tranquil
other	I love the language but like most beginner
other	You must have windows 10 to upload and play this game.
other	Le10bis is a brilliant hotel, metres from some great bars and restaurants, minutes from Metro stations, in the vicinity of the Arc de Triomphe.
bug	Recently the notifications come in way too slow.
other	it works!!!
bug	causing very slow motion move..
bug	- Many defects.
other	The app is good but there are many ads, they will tell you at the beginning .
bug	The app is good but there are many ads, they will tell you at the beginning .
other	Recommend to bring your own soft drinks.
bug	I keep on asking for security codes sent to SMS and have not received any codes!!!
other	i love the game too much
